@relation CE802_Ass_2017_Data

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute C {True,False}

@data
2.78,2.58,9.71,3.24,2.52,4,61,0.58,19,1.49,1.02,0.19,1,8,True
3.78,4.01,3.55,3.51,3.08,4,9,0.72,16,5.47,0.53,0.04,1,15,False
-0.84,-2.11,-2.07,-0.93,-1.19,15,30,8.35,100,0.96,6.2,6.1,10,5,False
2.74,2.87,3.86,4.49,3.29,4,8,1.34,13,1.96,0.2,0.22,1,15,False
3.25,2.87,5.84,4.61,4.37,2,2,1.51,-15,0.54,0.35,0.31,1,4,False
-1.44,-2.25,-0.78,-2.13,-1.06,25,340,9.35,15,1.09,6.3,8.25,10,35,True
2.43,5.75,3.57,2.26,2.49,3,13,1.57,-0,7.16,0.89,0.82,1,9,True
2.9,2.8,2.63,5.33,2.37,2,24,1.88,-13,0.68,0.77,0.63,1,7,True
2.43,2.75,2.89,2.5,3.83,2,24,0.74,12,0.51,0.85,0.19,1,12,False
-0.48,-1.68,-0.16,-1.62,-1.66,15,95,7.6,-50,-0.5,6.9,7.4,10,80,False
-1.47,2.73,-0.39,-1.58,-1.52,25,240,10.95,80,-0.91,7.15,5.8,10,65,False
-1.77,-2.32,0.18,-2.17,-1.05,5,235,12.1,-25,0.02,6.75,7.9,10,15,True
1.12,0.25,1.16,-0.69,-0.61,15,90,7.8,80,-0.67,5.8,5.8,10,45,False
-2.9,-2.83,-2.3,-2.9,-2.65,15,275,8.95,0,0.25,7.8,9.2,10,40,True
2.08,2.69,2.74,2.81,2.74,4,2,1.79,9,0.53,0.82,0.64,1,0,True
-2.1,-1.82,-2.68,-2.59,-2.12,15,300,8.8,-85,1.69,8.3,5.4,10,10,False
2.66,4.1,3.74,3.7,3.35,2,13,1.47,20,1.72,0.98,0,1,4,True
2.36,5.75,5.59,4.08,3.86,2,5,1.07,11,0.75,0.82,0.33,1,12,False
-0.51,-0.94,-0.82,-0.72,-0.54,15,235,10.2,-40,0.12,4.95,7.65,10,40,False
-1.89,-1.6,-1.54,-1.31,-2.01,15,240,7.5,35,3.41,5.85,8.05,10,30,False
-1.57,-1.15,-2.05,-0.54,-1.13,15,275,9,-70,5.48,5.95,8.95,10,55,False
2.49,4.4,3.48,2.21,2.73,4,23,0.48,5,1.01,0.89,0.54,1,4,True
4.95,3.35,4.8,3.49,2.67,2,1,0.7,-12,0.63,0.69,0.59,1,4,True
-1.34,-1.21,-1.45,-1.67,-1.63,15,245,13.25,30,0.76,6.3,5.3,10,15,False
4.04,3.76,3.55,3.31,3.99,1,19,1.72,-0,1.97,0.47,0.62,1,4,False
2.01,3.07,2.03,2.87,4.21,2,7,0.39,-7,3.15,0.82,0.87,1,1,True
4.64,3.64,2.39,3.73,3.66,4,25,1.36,5,0.37,0.55,0.93,1,8,True
4.34,3.4,5.65,2.77,2.31,0,33,1.08,-5,2.87,0.61,0.69,1,5,True
4.34,2.73,4.2,3.88,2.7,0,12,1.26,-6,0.87,0.91,0.37,1,8,True
4.01,4.23,2.07,3.54,5.14,4,52,1.73,9,2.47,1.02,0.46,1,2,True
2.38,3.16,2.14,2.13,2.13,4,39,1.37,13,1.32,0.95,1.03,1,9,True
2.66,2.46,3.54,6.11,3.29,2,7,1.72,-11,1.75,0.55,0.03,1,7,False
2.81,6.35,3.38,4.43,3.05,4,25,0.04,2,4.16,0.48,0.98,1,10,False
2.99,2.58,3.5,5.28,2.41,0,26,1.7,-10,1.79,0.4,0.85,1,1,True
4.86,2.51,3.36,3.11,3.26,2,49,1.15,17,1.89,0.6,0.73,1,10,False
0.04,0.55,0.69,0.14,1.24,5,275,11.7,-75,4.37,4.75,7.35,10,70,False
0.04,-2.22,-0.64,-1.36,0.07,15,140,8.25,80,2.36,6.1,9.7,10,70,True
2.57,4.23,3.72,2.96,3.76,0,4,0.45,-10,1.61,0.74,0.74,1,2,True
4.86,3.52,4.71,2.35,3.42,4,33,1.82,7,0.48,0.27,0.99,1,8,False
0.67,-0.29,-2.63,-2.44,-1.62,5,95,9.8,-85,0.15,8.05,5.15,10,15,True
-0.09,0.05,2.7,-0.5,-0.29,5,205,10.85,-60,0.54,5.65,5.85,10,30,False
3.02,5.41,2.86,2.42,3.55,2,4,0.84,15,0.74,0.92,0.45,1,7,True
2.98,2.11,2.44,2.48,3.78,0,72,1.86,-13,0.87,0.93,0.56,1,2,True
-1.47,-2.29,-2.5,0.77,-2.01,5,130,10.65,-75,-0.01,6.1,8.55,10,15,True
2.41,4.05,2.4,2.88,3.95,4,1,1.76,9,0.44,0.41,0.85,1,7,True
3.36,2.8,3.76,2.51,2.61,0,34,1.26,-3,2.47,0.67,0.61,1,10,True
3.06,4.12,3.3,2.87,2.54,0,35,1.69,-2,2.09,0.29,1,1,5,False
3.55,3.74,2.38,2.37,2.17,-1,0,0.19,-7,0.87,0.57,1.01,1,1,True
-1.65,-1.6,-1.49,1.31,-1.4,25,330,13.25,75,-0.66,5.85,8.65,10,70,False
3.69,3.09,3.08,4.32,3.26,4,23,0.86,19,0.57,0.51,0.8,1,9,True
-3.37,-1.41,-3.39,-0.98,-3.43,5,315,8.4,-65,2.49,10.1,7.75,10,15,True
3.18,4.52,2.94,3.78,3.3,2,24,1.48,14,1.16,0.63,0.9,1,-0,True
-2.55,-0.91,-2.51,-2.61,-2.64,15,285,9.8,-85,1.91,7.6,7.4,10,40,False
2.68,2.93,2.54,2.88,2.54,2,23,1.11,2,0.72,0.61,0.17,1,7,False
-1.52,-1.41,-1.83,0.37,-0.4,15,40,5.55,-95,0.27,5.45,7.55,10,25,False
1.02,-1.85,-0.54,-2.37,-1.71,15,55,7.15,-80,0.12,7.15,7.5,10,45,True
-1.99,-0.15,-2.42,0.05,-2.19,25,350,12.1,30,1.4,6.75,6.8,10,15,True
3.52,2.67,2.43,2.76,4.75,0,73,1.77,-5,2.14,0.78,0.69,1,6,True
3.58,3.41,2.49,3.79,3.76,0,2,1.76,-1,3.77,0.51,0.53,1,11,False
-2.25,0.97,-2.07,-1.5,-1.84,5,85,9.55,-30,0.04,7.7,7.1,10,55,True
-0.68,0.08,-0.68,-0.78,-0.7,5,110,14.25,0,0.27,5.45,6.9,10,55,False
-2.14,-2.24,-1.23,2.06,1.1,15,25,10,-90,-0.26,6.15,10.2,10,80,True
0.08,-0.97,-1.04,-0.42,-0.08,15,315,7.6,-60,2.55,6.85,6.15,10,75,False
2.46,3.08,2.16,2.36,2.7,2,10,0.94,12,1.31,0.69,0.95,1,7,True
-0.59,-0.12,-0.07,-1.34,0.29,5,60,8.5,-25,-0.63,7.65,6.5,10,75,False
3.4,-1.26,-0.65,-0.92,-1.4,25,375,10.9,100,-0.46,5.1,8.1,10,45,False
-1.22,-0.82,-0.7,-0.68,3.24,5,40,8.4,-10,1.89,5.35,6.15,10,15,False
2.15,-1.51,1.58,0.57,2.78,15,170,10.7,-90,0.13,6.35,7.55,10,70,False
3.44,3.07,2.25,4.03,2.89,2,54,1.76,12,1.29,0.92,0.7,1,3,True
2.5,3.07,3.93,2.87,3.15,4,12,1.13,5,1.63,0.9,0.22,1,10,True
7.08,2.69,2.98,2.32,3.07,2,8,0.46,-16,1.44,0.94,0.66,1,7,True
3.31,3.49,2.86,2.57,2.71,4,37,1.92,3,2.02,0.46,0.1,1,8,False
2.32,2.22,4.02,2.49,3.85,4,49,1.47,1,1.26,0.82,0.36,1,3,True
-2.3,0.9,-1.91,-2.44,-2.36,15,210,5.3,65,0.02,7.05,5.9,10,5,True
2.63,3.49,3.43,3.22,5.17,0,10,2.1,-8,0.5,0.94,0.25,1,7,False
-1.59,-1.62,-2.34,-0.81,-1.83,15,230,5.3,-40,1.77,9.45,6.7,10,65,True
-0.04,-0.5,0.99,0.02,-0.54,25,190,11.15,50,-0.95,5,7.75,10,80,False
2.36,5.01,5.51,3.59,2.7,2,46,1.67,-1,0.77,0.61,0.84,1,11,False
3.81,2.89,3.66,2.61,2.5,2,10,1.76,-18,0.91,0.53,0.66,1,13,False
2.74,3.67,2.86,2.93,3.09,4,8,1.21,3,0.23,-0.08,0.72,1,5,False
2.67,2.22,2.06,3.15,2.29,4,23,0.09,21,3.58,0.91,0.77,1,1,True
3.32,2.33,2.29,5.36,2.39,4,71,1.95,6,0.64,0.91,0.74,1,14,True
0.11,-1.74,-2.38,-2.48,-2.09,15,100,6.9,-90,2.12,7.05,6.6,10,20,True
-1.79,-0.53,-1.03,-0.86,-1.77,5,30,9.3,-90,0.31,5.35,6.85,10,15,False
-0.42,-2.74,0.82,1.61,-1.7,5,340,6.9,-15,1.52,8.15,7.65,10,35,False
3.42,3.15,2.81,3.06,2.82,2,45,0.78,-13,1.48,0.93,0.99,1,1,True
2.3,3.06,3.88,4.63,2.29,2,18,1.45,-7,2.43,0.93,0.82,1,11,True
-0.45,-1.88,-0.94,-1.82,-2.74,15,370,8.8,20,1.94,7.35,8.7,10,40,True
-0.09,-1.02,0.75,-1.19,-0.02,5,185,8.1,-45,1.66,5.5,6,10,35,False
-0.81,-3.08,-2.76,-2.85,0.92,5,365,7.3,-15,1.26,9.1,7.9,10,30,False
-0.3,-1.12,-1.03,-1.42,-0.63,25,290,13.6,60,-1.11,6.6,5.75,10,55,False
2.72,3.41,3.9,2.74,2.91,4,16,1.98,13,0.85,0.77,0.46,1,5,True
-1.69,-1.85,-1.19,0.31,-2.11,5,35,6.25,-5,4.64,5.45,7.55,10,10,False
2.42,3.23,2.64,7.69,8.31,2,12,1.65,16,0.29,0.88,0.16,1,9,True
3.66,5.29,3.81,4.76,2.88,0,3,1.13,-2,2.59,0.69,0.96,1,9,True
3.03,3.21,3,4.26,3.71,2,6,1,-17,0.76,0.65,0.72,1,1,True
-2.47,-2.29,-2.08,-2.23,-0.57,15,30,6.95,-85,1.29,8.35,7,10,65,True
0.03,-2.25,-2.46,-1.62,-2.28,15,180,7.6,-85,2.64,8.25,6.05,10,5,True
-1.77,-0.51,-0.17,-1.83,0.18,5,65,10.35,0,0.09,6.2,8.35,10,65,False
-2.5,-2.41,-2.18,-2.29,-0.55,15,170,5.25,-60,4.25,8.5,5.25,10,20,False
2.14,3.2,2.72,2.04,2.17,0,26,0.58,-4,1.35,0.99,0.95,1,10,True
-1.39,-1.96,-0.85,1.74,-1.43,25,370,6,105,1.17,6.9,7.1,10,55,False
-1.54,-1.05,-1.48,-1.08,-1.51,15,375,5.45,95,1.8,6.1,6.3,10,10,False
2.77,4.63,4.24,2.52,2.9,4,3,0.52,15,1.14,0.84,0.12,1,3,True
-0.05,2.92,1.44,0.79,0.02,15,70,11.7,85,2.38,5.6,5.1,10,65,False
2.83,3.01,2.52,2.4,2.26,2,4,0.14,-16,0.88,0.82,0.96,1,11,True
-1.05,-0.28,-2.21,-1.68,0.41,5,250,9.15,-25,0.83,7.2,7.55,10,65,False
4.41,3.9,2.4,2.74,3.08,4,53,0.58,10,1.83,0.71,0.61,1,7,True
-2.34,-2.28,3.94,-1.53,-0.85,25,255,11.9,20,-0.52,6.3,6.95,10,10,True
2.76,4.45,4.33,2.44,3,2,23,1.73,-17,1.37,0.58,0.2,1,3,False
-0.5,-2.93,-2.17,-1.72,-1.12,25,280,7.1,25,0.65,8.05,7.95,10,25,True
4.05,3.54,2.88,2.61,3.92,4,69,1.09,8,0.91,0.86,0.14,1,12,False
0.66,0.43,-2.15,-2.9,-2.87,5,45,7.85,-35,0.94,9.4,6.5,10,50,True
2.36,3.18,3.27,2.71,2.91,2,19,0.67,-18,1.52,0.6,0.83,1,14,True
3.83,4.46,2.96,3.69,3.34,4,5,0.75,9,0.41,0.39,0.76,1,3,True
2.7,2.66,3.08,2.2,3.93,4,18,1.43,9,1.19,0.76,0.71,1,7,True
3.47,3.06,2.08,2.49,3.46,0,6,0.63,-13,2.99,1.09,1.04,1,13,True
3.13,3.98,2.54,3.15,3.81,2,6,1.68,8,1.04,0.77,0.31,1,7,True
-1.09,-0.92,1.27,-0.3,-0.61,15,260,11.75,100,0.25,5.4,8,10,75,False
4.36,2.89,2.57,3.34,2.56,4,38,1.3,8,1.05,0.73,0.24,1,4,False
3.2,2.54,2.22,2.51,3.55,4,62,0.35,1,2.22,0.64,1.01,0,14,True
-0.42,-1.26,-1.8,-1.7,-1.89,5,130,5.75,-35,2.54,6.3,7.5,10,55,False
2.18,2.47,7.68,3.38,2.77,1,0,0.04,10,0.73,0.89,0.79,1,5,True
4.68,3.9,5.85,5.56,2.41,0,10,1.89,-6,0.68,0.82,0.43,1,2,True
-0.67,-1.5,-1.6,-1.66,-1.55,5,85,13.05,-75,-0.52,6.35,8.2,10,55,True
-1.89,0.74,-1.48,-1.74,0.46,15,105,9.2,-55,0.27,5.05,7.4,10,5,False
3.71,2.98,5.57,3.19,7.84,2,22,1.47,-1,1.22,0.87,0.68,1,4,True
-1.27,-0.76,3.2,-0.76,-0.66,15,15,11.1,-15,-0.43,6.1,5.55,10,40,False
-0.73,-2.85,-2.98,-2.87,-2.95,5,215,10.4,-60,2.21,7.5,9.15,10,20,True
-2.31,-1.93,-1.72,-2.65,-2.8,15,225,6.05,40,0.03,7.35,8.5,10,40,True
3.18,3.98,5.01,5.44,3.87,4,3,1.45,14,1.42,0.66,0.29,1,9,True
-1.73,-1.88,-2.58,-2.39,0.33,15,280,6.45,-25,1.13,8.35,5.55,10,35,False
-0.78,0.43,-1.41,-1.96,-2.2,5,300,14.15,-45,0.34,6.5,6.9,10,30,False
4.33,2.69,2.68,4.66,2.87,4,40,0.99,7,0.71,0.47,0.81,1,7,False
-2.27,-2.15,-2.21,-2.17,-2.23,15,245,5.45,80,1,6.3,6.55,10,10,False
-1.87,-1.15,-1.73,-1.5,-1.02,15,70,9.9,20,-0.91,6.4,6.35,10,20,False
2.55,3.58,2.71,2.91,2.99,4,55,1.57,15,0.54,0.59,0.82,1,11,False
3.47,3.27,3.36,2.99,2.82,4,15,1.95,2,0.13,0.56,1.04,1,12,True
3.3,3.79,2.55,2.82,3.39,2,2,1.7,-5,1.32,0.2,0.44,1,8,False
-0.37,-0.8,-1.39,-1.65,-0.23,15,30,9.95,-55,-0.86,5.9,9.5,10,75,True
2.93,3.62,3.43,3.06,3.57,4,43,0.52,5,2.84,0.59,0.95,1,14,False
3.95,8.17,2.98,2.4,2.54,2,13,0.45,4,1.39,0.42,0.93,1,15,False
2.89,3.34,4.13,3.39,2.97,4,39,0.97,2,0.97,0.53,0.82,1,10,False
2.83,2.48,3.27,5.86,8.68,2,74,1.45,3,0.76,0.71,0.51,1,11,True
2.34,2.84,2.71,2.81,3.31,4,19,1.26,17,0.94,1,0.37,1,11,True
2.43,3.27,2.83,3.63,2.14,2,6,1.4,6,3.02,0.75,0.97,1,-1,True
-3.03,-2.76,-1.75,-3.05,-2.7,10,180,7.6,5,0.73,7.4,9.35,10,10,True
2.35,3.53,2.39,3.77,2.79,4,19,0.7,9,1.56,1.1,0.45,1,5,True
-2.13,-1,-1.96,-1.51,-2.19,15,200,8.4,95,0.01,5.6,9.85,10,25,True
6.93,5.72,2.63,2.64,3.84,0,25,1.21,-12,1.19,0.36,0.51,0,4,True
-1.81,-2.06,-1.14,-1.59,-1.92,15,370,5.4,-80,3.6,7.4,6.4,10,45,False
-0.19,-1.25,-1.53,-1.65,-0.19,15,170,8.75,90,1.94,5.75,6.15,10,10,False
-1.81,-3.16,-2.72,-3.4,-2.59,5,325,6.55,-10,3.41,9.65,9.1,10,40,True
-1.82,-1.48,-0.6,-0.78,-1.63,5,325,13.45,-15,0.24,6.65,6.05,10,40,False
2.67,2.52,2.63,3.44,3.93,2,27,1.34,-8,0.82,0.59,0.5,1,7,False
-2.11,-1.54,-2.53,-1.81,-1.13,15,110,5.25,-75,0.52,8.3,6.25,10,55,False
3.33,5.78,3.1,8.94,3.84,4,14,0.46,2,0.59,0.75,0.59,1,2,True
-1.8,-0.27,-1.15,0.24,-2.11,25,110,7.35,45,2.16,5.95,9.3,10,50,False
-1.88,-1.26,-1.98,-1.61,-2,5,155,12.3,-55,0.47,6.65,7.8,10,55,False
2.37,3.89,2.84,2.84,2.16,2,16,0.03,14,0.52,0.9,0.83,1,13,True
